단계,유형,type,문제 텍스트,1/6문제,1/6정답,1/6선택정답,2/6문제,2/6정답,3/6문제,3/6정답,4/6문제,4/6정답,5/6문제,5/6-step1문제,5/6-step1정답,step5_1_training,5/6-step2문제,5/6-step2정답,step5_2_training,5/6-step3문제,5/6-step3정답,step5_3_training,6/6문제,6/6정답,keyword
3,D,본문제,"연속하는 두 홀수의 합이 36일 때, 두 홀수를 구하시오.","구해야하는 것은 무엇인가요?
① 두 홀수
② 두 홀수의 합
③ 두 홀수의 차
④ 두 홀수의 곱",두 홀수,①,무엇을 x로 정했나요?,두 홀수 중 작은 수,"""연속한 홀수 중 작은 홀수가 x 일때, 큰 홀수"" 를 x를 사용한 식으로 표현해보자",x+2,"""두 홀수의 합이 36이다"" 를 식으로 표현해 보자",x+x+2=36,4단계에서 세운 방정식을 풀어봅시다.,"[ x+x+2=36 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=34,"move_term,combine_like_terms",[ 2x=34 ] 이 식에서 x값을 구하면 얼마인가요?,x=17,divide_coefficient,skip,skip,skip,연속한 두 홀수는 무엇인가요?,"17, 19",홀수
3,D,유사문제1,"연속하는 두 홀수의 합이 48일 때, 두 홀수를 구하시오.","구해야하는 것은 무엇인가요?
① 두 홀수의 곱
② 두 홀수의 합
③ 두 홀수의 차
④ 두 홀수",두 홀수,④,무엇을 x로 정했나요?,두 홀수 중 작은 수,"""연속한 홀수 중 작은 홀수가 x 일때, 큰 홀수"" 를 x를 사용한 식으로 표현해보자",x+2,"""두 홀수의 합이 48이다"" 를 식으로 표현해보자",x+x+2=48,4단계에서 세운 방정식을 풀어봅시다.,"[ x+x+2=48 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=46,"move_term,combine_like_terms",[ 2x=46 ] 이 식에서 x값을 구하면 얼마인가요?,x=23,divide_coefficient,skip,skip,skip,연속한 두 홀수는 무엇인가요?,"23, 25",홀수
3,E,본문제,"가로의 길이가 세로의 길이의 2배보다 4cm 짧은 직사각형이 있다. 둘레의 길이가 34cm일 때, 이 직사각형의 가로의 길이를 구하시오.","구해야하는 것은 무엇인가요?
① 직사각형의 넓이
② 직사각형의 둘레의 길이
③ 직사각형의 가로의 길이
④ 직사각형의 세로의 길이",직사각형의 가로의 길이,③,무엇을 x로 정했나요?,직사각형의 세로의 길이,"""가로의 길이가 세로(x)의 길이의 2배보다 4cm 더 짧다"" 를 이용하여 가로의 길이를 x를 사용한 식으로 표현해보자",2x-4,"""직사각형의 둘레의 길이가 34cm이다"" 를 식으로 표현해 보자",2(x+2x-4)=34,4단계에서 세운 방정식을 풀어봅시다.,[ 2(x+2x-4)=34 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,6x-8=34,"distributive,combine_like_terms",[ 6x=42 ] 이 식에서 x값을 구하면 얼마인가요?,x=7,divide_coefficient,skip,skip,skip,직사각형의 가로의 길이는 몇 cm인가요?,10cm,도형
3,E,유사문제1,"가로의 길이가 세로의 길이의 2배보다 2cm 짧은 직사각형이 있다. 둘레의 길이가 50cm일 때, 이 직사각형의 가로의 길이를 구하시오.","구해야하는 것은 무엇인가요?
① 직사각형의 가로의 길이
② 직사각형의 세로의 길이
③ 직사각형의 둘레의 길이
④ 직사각형의 넓이",직사각형의 가로의 길이,①,무엇을 x로 정했나요?,직사각형의 세로의 길이,"""가로의 길이가 세로(x)의 길이의 2배보다 2cm 더 짧다"" 를 이용하여 가로의 길이를 x를 사용한 식으로 표현해보자",2x-2,"""직사각형의 둘레의 길이가 50cm이다"" 를 식으로 표현해보자",2(x+2x-2)=50,4단계에서 세운 방정식을 풀어봅시다.,[ 2(x+2x-2)=50 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,6x-4=50,"distributive,combine_like_terms",[ 6x=54 ] 이 식에서 x값을 구하면 얼마인가요?,x=9,divide_coefficient,skip,skip,skip,직사각형의 가로의 길이는 몇 cm인가요?,16cm,도형
4,A,본문제,"십의 자리의 숫자가 3인 두 자리 자연수가 있다. 이 자연수의 십의 자리의 숫자와 일의 자리의 숫자를 바꾼 수는 처음 수보다 36만큼 크다고 할 때, 처음 수를 구하시오.","구해야하는 것은 무엇인가요?
① 십의 자리의 숫자가 3인 두 자리 자연수
② 두 자리 자연수의 십의 자리 숫자
③ 두 자리 자연수의 일의 자리 숫자
④ 일의 자리의 숫자가 3인 두 자리 자연수",십의 자리의 숫자가 3인 두 자리 자연수,①,무엇을 x로 정했나요?,십의 자리의 숫자가 3인 두 자리 자연수의 일의 자리 숫자,"""십의 자리의 숫자가 3, 일의 자리 숫자가 x인 처음 수"" 를 x를 사용한 식으로 표현해보자",30+x,"""십의 자리의 숫자와 일의 자리의 숫자를 바꾼 수는 처음 수보다 36만큼 크다"" 를 식으로 표현해 보자",10x+3=30+x+36,4단계에서 세운 방정식을 풀어봅시다.,"[ 10x+3=30+x+36 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",9x=63,"move_term,combine_like_terms",[ 9x=63 ] 이 식에서 x값을 구하면 얼마인가요?,x=7,divide_coefficient,skip,skip,skip,처음 자연수는 무엇인가요?,37,자연수
4,A,유사문제1,"십의 자리의 숫자가 4인 두 자리 자연수가 있다. 이 자연수의 십의 자리의 숫자와 일의 자리의 숫자를 바꾼 수는 처음 수보다 27만큼 크다고 할 때, 처음 수를 구하시오.","구해야하는 것은 무엇인가요?
① 두 자리 자연수의 십의 자리 숫자
② 두 자리 자연수의 일의 자리 숫자
③ 십의 자리의 숫자가 4인 두 자리 자연수
④ 일의 자리의 숫자가 4인 두 자리 자연수",십의 자리의 숫자가 4인 두 자리 자연수,③,무엇을 x로 정했나요?,십의 자리의 숫자가 4인 두 자리 자연수의 일의 자리 숫자,"""십의 자리의 숫자가 4, 일의 자리 숫자가 x인 처음 수"" 를 x를 사용한 식으로 표현해보자",40+x,"""십의 자리의 숫자와 일의 자리의 숫자를 바꾼 수는 처음 수보다 27만큼 크다"" 를 식으로 표현해보자",10x+4=40+x+27,4단계에서 세운 방정식을 풀어봅시다.,"[ 10x+4=40+x+27 ]  이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",9x=63,"move_term,combine_like_terms",[ 9x=63 ] 이 식에서 x값을 구하면 얼마인가요?,x=7,divide_coefficient,skip,skip,skip,처음 자연수는 무엇인가요?,47,자연수
4,B,본문제,"가로의 길이가 4cm, 세로의 길이가 6cm인 직사각형이 있다. 이 직사각형의 가로의 길이를 5cm 늘리고, 세로의 길이를 몇 cm 늘렸더니 넓이가 처음 직사각형 넓이의 3배가 되었다. 이때 세로의 길이는 몇 cm 늘렸는지 구하시오.","구해야하는 것은 무엇인가요?
① 직사각형의 넓이
② 직사각형의 둘레의 길이
③ 4cm에서 늘린 가로의 길이
④ 6cm에서 늘린 세로의 길이",6cm에서 늘린 세로의 길이,④,무엇을 x로 정했나요?,6cm에서 늘린 세로의 길이,"""가로의 길이를 5cm, 세로의 길이를 xcm 늘린 직사각형의 넓이"" 를 x를 사용한 식으로 표현해보자",9(6+x),"""가로와 세로의 길이를 늘린 직사각형의 넓이가 처음 직사각형의 넓이의 3배가 되었다"" 를 식으로 표현해 보자",9(6+x)=3×24,4단계에서 세운 방정식을 풀어봅시다.,[ 9(6+x)=3×24 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,54+9x=72,"distributive,combine_like_terms","[ 54+9x=72 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",9x=18,"move_term,combine_like_terms",[ 9x=18 ] 이 식에서 x값을 구하면 얼마인가요?,x=2,divide_coefficient,세로의 길이는 몇 cm 늘렸는가요?,2cm,도형
4,B,유사문제1,"가로의 길이가 4cm, 세로의 길이가 4cm인 직사각형이 있다. 이 직사각형의 가로의 길이를 2cm 늘리고, 세로의 길이를 몇 cm 늘렸더니 넓이가 처음 직사각형 넓이의 3배가 되었다. 이때 세로의 길이는 몇 cm 늘렸는지 구하시오.","구해야하는 것은 무엇인가요?
① 4cm에서 늘린 가로의 길이
② 4cm에서 늘린 세로의 길이
③ 직사각형의 넓이
④ 직사각형의 둘레의 길이",4cm에서 늘린 세로의 길이,②,무엇을 x로 정했나요?,4cm에서 늘린 세로의 길이,"""가로의 길이를 2cm, 세로의 길이를 xcm 늘린 직사각형의 넓이"" 를 x를 사용한 식으로 표현해보자",6(4+x),"""가로와 세로의 길이를 늘린 직사각형의 넓이가 처음 직사각형의 넓이의 3배가 되었다"" 를 식으로 표현해보자",6(4+x)=3×16,4단계에서 세운 방정식을 풀어봅시다.,[ 6(4+x)=3×16 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,24+6x=48,"distributive,combine_like_terms","[ 24+6x=48 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",6x=24,"move_term,combine_like_terms",[ 6x=24 ] 이 식에서 x값을 구하면 얼마인가요?,x=4,divide_coefficient,세로의 길이는 몇 cm 늘렸는가요?,4cm,도형
4,C,본문제,"집에서 학교까지 갈 때는 시속 2km, 같은 길을 되돌아올 때는 시속 3km로 걸어서 총 5시간이 걸렸다. 집에서 학교까지의 거리를 구하시오.","구해야하는 것은 무엇인가요?
① 집에서 학교까지 갈 때 걸은 속력
② 학교에서 집까지 올 때 걸은 속력
③ 집에서 학교까지 거리
④ 집에서 학교까지 갈 때 걸린 시간",집에서 학교까지 거리,③,무엇을 x로 정했나요?,집에서 학교까지 거리,"""시속 2km로 갈 때 걸린 시간과 시속 3km로 올 때 걸린 시간"" 을 각각 x를 사용한 식으로 표현해보자
① 시속 2km로 갈 때 걸린 시간
② 시속 3km로 올 때 걸린 시간","x/2,x/3","""집에서 학교까지 갈 때와 같은 길을 되돌아올 때 총 5시간 걸렸다"" 를 식으로 표현해 보자",x/2+x/3=5,4단계에서 세운 방정식을 풀어봅시다.,[ x/2+x/3=5 ] 이 식에서 양변에 적당한 수를 곱하여 소수나 분수를 정수로 만들어 보세요,3x+2x=30,clear_fraction,[ 3x+2x=30 ] 이 식에서 동류항끼리 정리해 보세요,5x=30,combine_like_terms,[ 5x=30 ] 이 식에서 x값을 구하면 얼마인가요?,x=6,divide_coefficient,집에서 학교까지 거리는 몇 km인가요?,6km,산책
4,C,유사문제1,"집에서 도서관까지 갈 때는 시속 3km, 같은 길을 되돌아올 때는 시속 6km로 걸어서 총 3시간이 걸렸다. 집에서 도서관까지의 거리를 구하시오.","구해야하는 것은 무엇인가요?
① 집에서 도서관까지 거리
② 집에서 도서관까지 갈 때 걸은 속력
③ 도서관에서 집으로 올 때 걸은 속력
④ 집에서 도서관까지 갈 때 걸린 시간",집에서 도서관까지 거리,①,무엇을 x로 정했나요?,집에서 도서관까지 거리,"""시속 3km로 갈 때 걸린 시간과 시속 6km로 올 때 걸린 시간"" 을 각각 x를 사용한 식으로 표현해보자
① 시속 3km로 갈 때 걸린 시간
② 시속 6km로 올 때 걸린 시간","x/3,x/6","""집에서 도서관까지 갈 때와 같은 길을 되돌아올 때 총 3시간 걸렸다"" 를 식으로 표현해보자",x/3+x/6=3,4단계에서 세운 방정식을 풀어봅시다.,[ x/3+x/6=3 ] 이 식에서 양변에 적당한 수를 곱하여 소수나 분수를 정수로 만들어 보세요,2x+x=18,clear_fraction,[ 2x+x=18 ] 이 식에서 동류항끼리 정리해 보세요,3x=18,combine_like_terms,[ 3x=18 ] 이 식에서 x값을 구하면 얼마인가요?,x=6,divide_coefficient,집에서 도서관까지의 거리는 몇 km인가요?,6km,산책
4,D,본문제,"집에서 공원까지 갈 때는 시속 4km, 올 때는 같은 길을 시속 3km로 걸어서 총 1시간 10분이 걸렸다. 집에서 공원까지의 거리를 구하시오.","구해야하는 것은 무엇인가요?
① 집에서 공원까지 갈 때 걸린 시간
② 집에서 공원까지 거리
③ 공원에서 집으로 올 때 걸은 속력
④ 집에서 공원까지 갈 때 걸은 속력",집에서 공원까지 거리,②,무엇을 x로 정했나요?,집에서 공원까지 거리,"""시속 4km로 갈 때 걸린 시간과 시속 3km로 올 때 걸린 시간"" 을 각각 x를 사용한 식으로 표현해보자
① 시속 4km로 갈 때 걸린 시간
② 시속 3km로 올 때 걸린 시간","x/4,x/3","""집에서 공원까지 갈 때와 같은 길을 올 때 총 1시간 10분 걸렸다"" 를 식으로 표현해 보자",x/4+x/3=7/6,4단계에서 세운 방정식을 풀어봅시다.,[ x/4+x/3=7/6 ] 이 식에서 양변에 적당한 수를 곱하여 소수나 분수를 정수로 만들어 보세요,3x+4x=14,clear_fraction,[ 3x+4x=14 ] 이 식에서 동류항끼리 정리해 보세요,7x=14,combine_like_terms,[ 7x=14 ] 이 식에서 x값을 구하면 얼마인가요?,x=2,divide_coefficient,집에서 공원까지 거리는 몇 km인가요?,2km,거리
4,D,유사문제1,"학교에서 체육관까지 갈 때는 시속 5km, 올 때는 같은 길을 시속 4km로 걸어서 총 1시간 48분이 걸렸다. 학교에서 체육관까지의 거리를 구하시오.","구해야하는 것은 무엇인가요?
① 학교에서 체육관까지 갈 때 걸은 속력
② 체육관에서 학교까지 올 때 걸은 속력
③ 학교에서 체육관까지 거리
④ 학교에서 체육관까지 걸린 시간",학교에서 체육관까지 거리,③,무엇을 x로 정했나요?,학교에서 체육관까지 거리,"""시속 5km로 갈 때 걸린 시간과 시속 4km로 올 때 걸린 시간"" 을 각각 x를 사용한 식으로 표현해보자
① 시속 5km로 갈 때 걸린 시간
② 시속 4km로 올 때 걸린 시간","x/5,x/4","""집에서 공원까지 갈 때와 같은 길을 올 때 총 1시간 48분이 걸렸다"" 를 식으로 표현해보자",x/5+x/4=9/5,4단계에서 세운 방정식을 풀어봅시다.,[ x/5+x/4=9/5 ] 이 식에서 양변에 적당한 수를 곱하여 소수나 분수를 정수로 만들어 보세요,4x+5x=36,clear_fraction,[ 4x+5x=36 ] 이 식에서 동류항끼리 정리해 보세요,9x=36,combine_like_terms,[ 9x=36 ] 이 식에서 x값을 구하면 얼마인가요?,x=4,divide_coefficient,학교에서 체육관까지의 거리는 몇 km인가요?,4km,거리
4,E,본문제,8km 떨어진 지역까지 가는데 출발하여 시속 5km로 걷다가 어떤 지점부터 시속 6km로 달렸더니 총 1시간 30분이 걸렸다. 이때 시속 6km로 달린 거리를 구하시오.,"구해야하는 것은 무엇인가요?
① 시속 5km로 걸은 시간
② 시속 5km로 걸은 거리
③ 시속 6km로 달린 시간
④ 시속 6km로 달린 거리",시속 6km로 달린 거리,④,무엇을 x로 정했나요?,시속 6km로 달린 거리,"""시속 6km로 달린 거리를 x라고 할 때, 시속 5km로 걸은 거리"" 를 x를 사용한 식으로 표현해보자",8-x,"""8km 떨어진 지역까지 가는데 총 1시간 30분이 걸렸다"" 를 식으로 표현해 보자",(8-x)/5+x/6=3/2,4단계에서 세운 방정식을 풀어봅시다.,[ (8-x)/5+x/6=3/2 ] 이 식에서 양변에 적당한 수를 곱하여 소수나 분수를 정수로 만들어 보세요,6(8-x)+5x=45,clear_fraction,[ 6(8-x)+5x=45 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,48-x=45,"distributive,combine_like_terms","[ 48-x=45 ]  이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리한 다음 x값을 구하면 얼마인가요?",x=3,move_term,시속 6km로 달린 거리는 몇 km인가요?,3km,운동
4,E,유사문제1,10km 떨어진 지역까지 가는데 출발하여 시속 4km로 걷다가 어떤 지점부터 시속 6km로 달렸더니 총 2시간이 걸렸다. 이때 시속 6km로 달린 거리를 구하시오.,"구해야하는 것은 무엇인가요?
① 시속 6km로 달린 시간
② 시속 6km로 달린 거리
③ 시속 4km로 걸은 시간
④ 시속 4km로 걸은 거리",시속 6km로 달린 거리,②,무엇을 x로 정했나요?,시속 6km로 달린 거리,"""시속 6km로 달린 거리를 x라고 할 때, 시속 4km로 걸은 거리"" 를 x를 사용한 식으로 표현해보자",10-x,"""10km 떨어진 지역까지 가는데 총 2시간이 걸렸다"" 를 식으로 표현해보자",(10-x)/4+x/6=2,4단계에서 세운 방정식을 풀어봅시다.,[ (10-x)/4+x/6=2 ] 이 식에서 양변에 적당한 수를 곱하여 소수나 분수를 정수로 만들어 보세요,3(10-x)+2x=24,clear_fraction,[ 3(10-x)+2x=24 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,30-x=24,"distributive,combine_like_terms","[ 30-x=24 ]  이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리한 다음 x값을 구하면 얼마인가요?",x=6,move_term,시속 6km로 달린 거리는 몇 km인가요?,6km,운동
5,A,본문제,"사탕을 학생들에게 4개씩 주면 7개가 남고, 5개씩 주면 3개가 부족하다고 한다. 이때 사탕을 받은 학생수를 구하시오.","구해야하는 것은 무엇인가요?
① 사탕의 총 개수
② 한 사람이 받는 사탕의 개수
③ 사탕을 받지 못한 학생수
④ 사탕을 받은 학생수",사탕을 받은 학생수,④,무엇을 x로 정했나요?,사탕을 받은 학생수,"""사탕을 받은 학생수를 x라고 할 때, 학생들에게 사탕을 4개씩 줄 때와 5개씩 줄 때의 사탕 개수"" 를 각각 x를 사용한 식으로 표현해보자
① 학생들에게 사탕을 4개씩 줄 때 사탕 개수
② 학생들에게 사탕을 5개씩 줄 때 사탕 개수","4x+7,5x-3","""사탕의 개수는 같다"" 를 식으로 표현해보자",4x+7=5x-3,4단계에서 세운 방정식을 풀어봅시다.,"[ 5x-3=4x+7 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리한 다음 x값을 구하면 얼마인가요?",x=10,"move_term,combine_like_terms",skip,skip,skip,skip,skip,skip,사탕을 받은 학생수는 몇 명인가요?,10명,간식
5,A,유사문제1,"초콜릿을 학생들에게 3개씩 주면 8개가 남고, 4개씩 주면 2개가 부족하다고 한다. 이때 초콜릿을 받은 학생수를 구하시오.","구해야하는 것은 무엇인가요?
① 초콜릿을 받은 학생수
② 초콜릿을 받지 못한 학생수
③ 초콜릿의 총 개수
④ 한 사람이 받는 초콜릿의 개수",초콜릿을 받은 학생수,①,무엇을 x로 정했나요?,초콜릿을 받은 학생수,"""초콜릿을 받은 학생수를 x라고 할 때, 학생들에게 초콜릿을 3개씩 줄 때와 4개씩 줄 때의 초콜릿 개수"" 를 각각 x를 사용한 식으로 표현해보자
① 학생들에게 초콜릿을 3개씩 줄 때 초콜릿 개수
② 학생들에게 초콜릿을 4개씩 줄 때 초콜릿 개수","3x+8,4x-2","""초콜릿의 개수는 같다"" 를 식으로 표현해보자",3x+8=4x-2,4단계에서 세운 방정식을 풀어봅시다.,"[ 4x-2=3x+8 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리한 다음 x값을 구하면 얼마인가요?",x=10,"move_term,combine_like_terms",skip,skip,skip,skip,skip,skip,초콜릿을 받은 학생수는 몇 명인가요?,10명,간식
5,B,본문제,"집과 도서관 사이를 왕복하는데 갈 때는 시속 3km, 올 때는 시속 4km로 걸어 올 때 걸린 시간이 갈 때 걸린 시간보다 20분 덜 걸렸다. 집과 도서관 사이의 거리를 구하시오.","구해야하는 것은 무엇인가요?
① 집과 도서관 사이의 거리
② 집에서 도서관까지 가는데 걸린 시간
③ 도서관에서 집까지 오는데 걸린 시간
④ 집에서 도서관까지 왕복하는데 걸은 속력",집과 도서관 사이의 거리,①,무엇을 x로 정했나요?,집과 도서관 사이의 거리,"""집과 도서관 사이의 거리를 x 라고 할 때, 갈 때 걸린 시간과 올 때 걸린 시간"" 을 각각 x를 사용한 식으로 표현해보자
① 갈 때 걸린 시간
② 올 때 걸린 시간","x/3,x/4","""올 때 걸린 시간이 갈 때 걸린 시간보다 20분 덜 걸렸다"" 를 식으로 표현해 보자",x/3=x/4+1/3,4단계에서 세운 방정식을 풀어봅시다.,[ x/3=x/4+1/3 ] 이 식에서 양변에 적당한 수를 곱하여 소수나 분수를 정수로 만들어 보세요,4x=3x+4,clear_fraction,"[ 4x=3x+4 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리한 다음 x값을 구하면 얼마인가요?",x=4,"move_term,combine_like_terms",skip,skip,skip,집과 도서관 사이의 거리는 몇 km인가요?,4km,공부
5,B,유사문제1,"집과 체육관 사이를 왕복하는데 갈 때는 시속 4km, 올 때는 시속 6km로 걸어 올 때 걸린 시간이 갈 때 걸린 시간보다 20분 덜 걸렸다. 집과 체육관 사이의 거리를 구하시오.","구해야하는 것은 무엇인가요?
① 집에서 체육관까지 가는데 걸린 시간
② 체육관에서 집까지 오는데 걸린 시간
③ 집과 체육관 사이의 거리
④ 집에서 체육관까지 왕복하는데 걸은 속력",집과 체육관 사이의 거리,③,무엇을 x로 정했나요?,집과 체육관 사이의 거리,"""집과 체육관 사이의 거리를 x 라고 할 때, 갈 때 걸린 시간과 올 때 걸린 시간"" 을 각각 x를 사용한 식으로 표현해보자
① 갈 때 걸린 시간
② 올 때 걸린 시간","x/4,x/6","""올 때 걸린 시간이 갈 때 걸린 시간보다 20분 덜 걸렸다"" 를 식으로 표현해보자",x/4=x/6+1/3,4단계에서 세운 방정식을 풀어봅시다.,[ x/4=x/6+1/3 ] 이 식에서 양변에 적당한 수를 곱하여 소수나 분수를 정수로 만들어 보세요,3x=2x+4,clear_fraction,"[ 3x=2x+4 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리한 다음 x값을 구하면 얼마인가요?",x=4,"move_term,combine_like_terms",skip,skip,skip,집과 체육관 사이의 거리는 몇 km인가요?,4km,공부
5,C,본문제,"수련회에 참석한 학생들을 방에 배정하려고 한다. 한 방에 6명씩 배정하면 4명이 남고, 7명씩 배정하면 5명이 남는데 6명씩 배정할 때보다 방 1개가 줄어든다. 이때 수련회에 참석한 학생수를 구하시오.","구해야하는 것은 무엇인가요?
① 6명의 학생이 사용한 방의 개수
② 수련회에 참석한 학생수
③ 학생들이 사용한 방의 개수
④ 학생들이 사용하지 않고 남은 방의 개수",수련회에 참석한 학생수,②,무엇을 x로 정했나요?,수련회에 배정된 방의 개수,"""수련회에 배정된 방의 개수를 x 라고 할 때, 한 방에 6명씩 배정할 때와 7명씩 배정할 때의 학생 수"" 를 x를 사용한 식으로 표현해보자
① 한 방에 6명씩 배정할 때 학생 수
② 한 방에 7명씩 배정할 때 학생 수","6x+4,7(x-1)+5","""수련회에 참석한 학생수는 같다"" 를 식으로 표현해 보자",6x+4=7(x-1)+5,4단계에서 세운 방정식을 풀어봅시다.,[ 6x+4=7(x-1)+5 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,6x+4=7x-2,"distributive,combine_like_terms","[ 6x+4=7x-2 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리한 다음 x값을 구하면 얼마인가요?",x=6,"move_term,combine_like_terms",skip,skip,skip,수련회에 참석한 학생수는 몇 명인가요?,40명,여행
5,C,유사문제1,"캠프에 참석한 학생들을 방에 배정하려고 한다. 한 방에 5명씩 배정하면 3명이 남고, 6명씩 배정하면 4명이 남는데 5명씩 배정할 때보다 방 1개가 줄어든다. 이때 캠프에 참석한 학생수를 구하시오.","구해야하는 것은 무엇인가요?
① 캠프에 참석한 학생수
② 학생들이 사용한 방의 개수
③ 학생들이 사용하지 않고 남은 방의 개수
④ 5명의 학생이 사용한 방의 개수",캠프에 참석한 학생수,①,무엇을 x로 정했나요?,캠프에 배정된 방의 개수,"""캠프에 배정된 방의 개수를 x 라고 할 때, 한 방에 5명씩 배정할 때와 6명씩 배정할 때의 학생 수"" 를 각각 x를 사용한 식으로 표현해보자
① 한 방에 5명씩 배정할 때 학생 수
② 한 방에 6명씩 배정할 때 학생 수","5x+3,6(x-1)+4","""캠프에 참석한 학생수는 같다"" 를 식으로 표현해 보자",5x+3=6(x-1)+4,4단계에서 세운 방정식을 풀어봅시다.,[ 5x+3=6(x-1)+4 ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,5x+3=6x-2,"distributive,combine_like_terms","[ 5x+3=6x-2 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리한 다음 x값을 구하면 얼마인가요?",x=5,"move_term,combine_like_terms",skip,skip,skip,캠프에 참석한 학생수는 몇 명인가요?,28명,여행
5,D,본문제,"동생이 집에서 출발한 지 20분 후에 형이 같은 길을 따라 동생을 만나러 갔다. 동생은 시속 4km의 속력으로 걷고, 형은 시속 6km의 속력으로 뛰었을 때, 형이 집에서 출발한 지 몇 분 후에 동생을 만나는지 구하시오.","구해야하는 것은 무엇인가요?
① 동생이 걸은 거리
② 형이 걸은 거리
③ 동생이 걸은 시간
④ 형이 출발 후 동생과 만날때까지 걸린 시간",형이 출발 후 동생과 만날때까지 걸린 시간,④,무엇을 x로 정했나요?,형이 출발 후 동생과 만날때까지 걸린 시간,"""형이 출발하여 동생과 만날때까지 걸린 시간을 x시간이라고 할때, 동생이 걸은 시간"" 을 x를 사용한 식으로 표현해보자",x+1/3,"""형이 동생과 같은 길을 따라 뛰어가서 동생을 만났다"" 를 식으로 표현해 보자",6x=4(x+1/3),4단계에서 세운 방정식을 풀어봅시다.,[ 6x=4(x+1/3) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,6x=4x+4/3,"distributive,combine_like_terms","[ 6x=4x+4/3 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",2x=4/3,"move_term,combine_like_terms",[ 2x=4/3 ] 이 식에서 x값을 구하면 얼마인가요?,x=2/3,divide_coefficient,형이 집에서 출발한 지 몇 분 후에 동생을 만나는가요?,40분,약속
5,D,유사문제1,"동생이 집에서 출발한 지 30분 후에 형이 같은 길을 따라 동생을 만나러 갔다. 동생은 시속 3km의 속력으로 걷고, 형은 시속 6km의 속력으로 뛰었을 때, 형이 집에서 출발한 지 몇 분 후에 동생을 만나는지 구하시오.","구해야하는 것은 무엇인가요?
① 동생이 걸은 거리
② 동생이 걸은 시간
③ 형이 출발 후 동생과 만날 때까지 걸린 시간
④ 형이 걸은 거리",형이 출발 후 동생과 만날 때까지 걸린 시간,③,무엇을 x로 정했나요?,형이 출발 후 동생과 만날 때까지 걸린 시간,"""형이 출발하여 동생과 만날때까지 걸린 시간을 x시간이라고 할때, 동생이 걸은 시간"" 을 x를 사용한 식으로 표현해보자",x+1/2,"""형이 동생과 같은 길을 따라 뛰어가서 동생을 만났다"" 를 식으로 표현해 보자",6x=3(x+1/2),4단계에서 세운 방정식을 풀어봅시다.,[ 6x=3(x+1/2) ] 이 식에서 괄호를 풀고 동류항끼리 정리해보세요,6x=3x+3/2,"distributive,combine_like_terms","[ 6x=3x+3/2 ] 이 식에서 좌변에는 x항을 모으고, 우변에는 상수항을 모아 정리해 보세요",3x=3/2,"move_term,combine_like_terms",[ 3x=3/2 ] 이 식에서 x값을 구하면 얼마인가요?,x=1/2,divide_coefficient,형이 출발한 지 몇 분 후에 동생을 만나는가요?,30분,약속
